TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude
180212,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,51 Garrison Ave,1,Sidewalk: Curb side : Cutout,Private,,2,Width 2ft,37.71035715,-122.4131225
121145,Planning Code 138.1 required,Magnolia grandiflora :: Southern Magnolia,962 Capitol Ave,1,Sidewalk: Curb side : Cutout,Private,9/9/16 0:00,3,3x3,37.71940999,-122.4590393
142715,DPW Maintained,Pittosporum undulatum :: Victorian Box,1150 Columbus Ave,1,Sidewalk: Curb side : Cutout,Private,,7,Width 0ft,37.80461172,-122.4162467
4232,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,3997 Cesar Chavez St,1,Sidewalk: Curb side : Cutout,Private,4/5/95 0:00,12,3x3,37.74750912,-122.4290407
219951,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,4037 25th St,1,Sidewalk: Curb side : Cutout,Private,,4,Width 3ft,37.74984312,-122.430418
143318,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,988 MARKET ST,6,Sidewalk: Curb side : Cutout,Private,,9,Width 0ft,37.78244269,-122.410175
127426,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1870 Sacramento St,5,Sidewalk: Curb side : Pot,Private,,3,Width 5ft,37.79120847,-122.4237592
251094,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,6200 Geary Blvd,1,Sidewalk: Curb side : Cutout,Private,,4,Width 4ft,37.78017043,-122.4859766
192977,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,179 Texas St,3,Sidewalk: Curb side : Cutout,Private,,7,Width 3ft,37.76441916,-122.395636
22121,DPW Maintained,Lophostemon confertus :: Brisbane Box,3795X 03rd St,6,Sidewalk: Curb side : Cutout,DPW,2/4/92 0:00,12,3X3,37.7427408,-122.3878229
26389,DPW Maintained,Lophostemon confertus :: Brisbane Box,1615X Mission St,3,Sidewalk: Curb side : Cutout,DPW,,12,3X3,37.77209804,-122.4190013
63576,DPW Maintained,Pittosporum undulatum :: Victorian Box,1338 Filbert St,1,Sidewalk: Curb side : Cutout,Private,4/30/87 0:00,15,,37.79990705,-122.4213765
112142,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',275 05th St,2,Sidewalk: Curb side : Cutout,Private,,15,3x3,37.78063176,-122.4036953
27773,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,199X The Embarcadero,6,Sidewalk: Curb side : Cutout,Rec/Park,12/1/00 0:00,6,,37.79658901,-122.3955269
119922,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,3649 Anza St,2,Sidewalk: Curb side : Cutout,Private,,5,Width 3ft,37.77795669,-122.4875817
237790,DPW Maintained,Prunus cerasifera :: Cherry Plum,10 Loma Vista Ter,8,Sidewalk: Curb side : Yard,Private,,5,Width 3ft,37.76505197,-122.44331
118576,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,7900 Geary Blvd,6,Sidewalk: Curb side : Cutout,Private,,14,Width 3ft,37.77931131,-122.5045101
124407,DPW Maintained,Pittosporum undulatum :: Victorian Box,3966 Clay St,1,Sidewalk: Curb side : Cutout,Private,,9,Width 3ft,37.78768155,-122.4584814
214671,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,2472 15th Ave,2,Sidewalk: Curb side : Cutout,Private,,2,Width 3ft,37.74192965,-122.4711939
213193,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,60 Miramar Ave,1,Sidewalk: Curb side : Cutout,Private,,13,Width 3ft,37.71929531,-122.4581023
61826,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',999 Brannan St,1,Sidewalk: Curb side : Cutout,Private,4/5/85 0:00,18,,37.77019991,-122.4066403
127949,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',913 Front St,2,Sidewalk: Curb side : Cutout,Private,,17,Width 4ft,37.79886598,-122.3999944
214838,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,525 Faxon Ave,1,Sidewalk: Curb side : Cutout,Private,,1,Width 3ft,37.72406427,-122.4603099
86081,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,2355 28th Ave,1,Sidewalk: Curb side : Cutout,DPW,1/12/07 0:00,3,3x3,37.74347245,-122.4854767
237560,Undocumented,Prunus cerasifera :: Cherry Plum,268 Dorland St,7,Sidewalk: Curb side : Cutout,Private,,8,Width 3ft,37.7621169,-122.4303571
199700,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2098 Jennings St,3,Sidewalk: Curb side : Cutout,Private,,6,Width 0ft,37.72720174,-122.3886099
196158,DPW Maintained,Prunus cerasifera :: Cherry Plum,390x Hampshire St,4,Median : Cutout,DPW,,8,Width 5ft,37.76461942,-122.4084595
134336,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1020 Market St,3,Sidewalk: Curb side : Cutout,Private,,4,Width 4ft,37.78204963,-122.4107091
237563,DPW Maintained,Prunus cerasifera :: Cherry Plum,263 Dorland St,1,Sidewalk: Curb side : Cutout,Private,,3,Width 3ft,37.76204236,-122.4298328
54423,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',735 Montgomery St,1,Sidewalk: Curb side : Cutout,Private,6/20/72 0:00,15,,37.79628373,-122.4035603
109053,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,200 Shipley St,1,Sidewalk: Curb side : Cutout,Private,,1,3x3,37.77973835,-122.4029995
